song,year,artist,genre,lyrics
prole-art-threat-a,2007,fall,Metal,pink press threat man chip ride third class one class train crank nought like wimpey crane pink prole threat gent safe hous get pink press threat file brrrptzzap subject man chip delous safe hous time get safe hous hang rhyme hang crummi blitz trad neck pink press threat escap pink prole effect gent safe hous new prole art threat reclus safe hous time clan began agenda item one scene safe hous give nail file soon gent staff look agenda bit reveal problem get pink press threat file new prole art threat subject safe hous safe hous time safe hous around pink press threat gent get appli wet lib file new prole art threat safe hous safe hous tone man chip clan gotten away hundr year dissip knack sheer brillianc home video reach till stereo bog
noel-s-chemical-effluence,2007,fall,Metal,noel chemic effluenc go right alp pick fabul scent noel chemic effluenc noel chemic effluenc fuss element wait keyboard ever firmament go exit noel chemic effluenc inher diseas goe imbal juic brain transit caus one envisag white face spike mescalin noel chemic effluenc go right alp look happen lodg look happen castl look red purpl vomit stream bed angl right bathroom finger banker els fail alway blow whistl work pleasur come abdomin excel
butterflies-4-brains,2007,fall,Metal,got reason live got reason brain butterfli brain whizz bang butterfli brain got whizz bang butterfli brain would walk ten countri mile fat person moccasin butterfli brain come got four die concern school build got reason live got black cloud aura got
hey-luciani,2007,fall,Metal,aborteum said luciani futur today said hey luciani pope three three day made ultra nut time christian paid life treacheri futur today futur stay luciani hey luciani jesu gone away said hey luciani meet church bank said peasant stock one day curia murder hermeneut fruit plain corpor bishop graze exit church poverti pain futur today futur stay hey luciani pop star cell said hey luciani polish son hell first john paul christian gone see grave snow storm top brass holi grail imit sale futur today luciani cowl black inquisit rack futur today futur stay luciani
visitation-of-an-american-poet,2007,fall,Metal,one revers home pilgrim littl arab goddam wife pilgrim come revers descend fals poet enjoin littl arab girlfriend world need anoth mark smith gun jam found phone prozac got left baggag onto pari world need anoth mark smith need lancashir real poet ess
kurious-orange,2007,fall,Metal,pain intens man inquir curiou orang rode peasant like rode peasant like hors love hors love kuriou orang curiou orang built world know system travers rode slipshod dumbshit curiou orang freed black built church one day man amish curiou orang cloth cool pave way atom bomb know made jew school made hitler laugh pain sent missionari girl arab state sun bake men drool curiou orang made hitler laugh pain turn napoleon know invent birth control invulner cool curiou orang
middle-class-revolt,2007,fall,Metal,everyth see want club middl class revolt put want homestyl sublim envi c2 bump jolt d2 d1 bump jolt middl class revolt calorif middl class revolt everyth see middl class revolt club crash c2 middl class revolt man extrem lazi exhum cook pigeon word indign cook wrong middl class revolt
why-are-people-grudgeful,2007,fall,Metal,world death rent europa differ come come come alway help chat shop walk talk walk talk without fear walk talk walk talk without fear peopl grudg boy tell peopl grudg boy world differ differ creation differ differ come come come come crumbl boy watch watch watch watch boy tend forget come come come right boy tend forget world death rent death rent europa death rent death rent peopl grudg boy peopl grudg boy watch watch watch watch
c-r-e-e-p,2007,fall,Metal,read book list book club two month stanc familiar hunch slouch last time came around oppress abound type round scum egg horrid trendi wretch black saucer back neck interrupt side talk presenc ugli gawk offend make sure absorb bright sun came one fine morn populist well class least came real age must pay eep want world peac like abc creep
put-away,2007,fall,Metal,daaa late 20th centuri late said ye mistaken sarcasm even belliger fight put away back someday put away back someday prison year day put away back someday bust doorbel sound door broken doorbel sound door broken rang rang never went put away back someday put away boo boo bow vers second
